Freq.	V(vout)
2.17270117886371e+000	(4.28153112511681e+001dB,1.79997367278505e+002°)
2.17770977235312e+000	(4.28153112511286e+001dB,1.79997361209455e+002°)
2.18272991184296e+000	(4.28153112510891e+001dB,1.79997355126415e+002°)
2.18776162394952e+000	(4.28153112510493e+001dB,1.79997349029351e+002°)
2.19280493535041e+000	(4.28153112510093e+001dB,1.79997342918233e+002°)
2.19785987278479e+000	(4.28153112509692e+001dB,1.79997336793027e+002°)
2.20292646305342e+000	(4.28153112509289e+001dB,1.79997330653701e+002°)
2.20800473301886e+000	(4.28153112508884e+001dB,1.79997324500222e+002°)
2.21309470960560e+000	(4.28153112508477e+001dB,1.79997318332558e+002°)
2.21819641980018e+000	(4.28153112508068e+001dB,1.79997312150676e+002°)
2.22330989065136e+000	(4.28153112507658e+001dB,1.79997305954544e+002°)
2.22843514927026e+000	(4.28153112507245e+001dB,1.79997299744128e+002°)
2.23357222283049e+000	(4.28153112506830e+001dB,1.79997293519395e+002°)
2.23872113856830e+000	(4.28153112506414e+001dB,1.79997287280313e+002°)
2.24388192378273e+000	(4.28153112505995e+001dB,1.79997281026848e+002°)
2.24905460583574e+000	(4.28153112505575e+001dB,1.79997274758968e+002°)
2.25423921215239e+000	(4.28153112505153e+001dB,1.79997268476638e+002°)
2.25943577022094e+000	(4.28153112504728e+001dB,1.79997262179827e+002°)
2.26464430759302e+000	(4.28153112504302e+001dB,1.79997255868499e+002°)
2.26986485188378e+000	(4.28153112503874e+001dB,1.79997249542623e+002°)
2.27509743077203e+000	(4.28153112503444e+001dB,1.79997243202164e+002°)
2.28034207200038e+000	(4.28153112503012e+001dB,1.79997236847088e+002°)
2.28559880337539e+000	(4.28153112502578e+001dB,1.79997230477363e+002°)
2.29086765276773e+000	(4.28153112502142e+001dB,1.79997224092954e+002°)
2.29614864811232e+000	(4.28153112501703e+001dB,1.79997217693827e+002°)
2.30144181740847e+000	(4.28153112501264e+001dB,1.79997211279949e+002°)
2.30674718872003e+000	(4.28153112500822e+001dB,1.79997204851286e+002°)
2.31206479017555e+000	(4.28153112500377e+001dB,1.79997198407802e+002°)
2.31739464996844e+000	(4.28153112499931e+001dB,1.79997191949465e+002°)
