time	V(n005)
4.176122635434388e-003	5.380713e-001
4.195653885434388e-003	5.380777e-001
4.215185135434387e-003	5.380453e-001
4.234716385434387e-003	5.379676e-001
4.244482010434387e-003	5.379054e-001
4.254247635434387e-003	5.378203e-001
4.264013260434386e-003	5.377019e-001
4.273778885434386e-003	5.375330e-001
4.283544510434386e-003	5.372928e-001
4.290234010841798e-003	5.370652e-001
4.296278475682419e-003	5.367946e-001
4.300758813445829e-003	5.365378e-001
4.305191981155979e-003	5.362154e-001
4.307824057578612e-003	5.359507e-001
4.310435287864392e-003	5.355771e-001
4.312654506602240e-003	5.351422e-001
4.314825925147052e-003	5.345963e-001
4.318391657606203e-003	5.335348e-001
4.322017201074216e-003	5.322721e-001
4.329207245609848e-003	5.293655e-001
4.336758804339280e-003	5.258415e-001
4.346524429339280e-003	5.205459e-001
4.356290054339279e-003	5.143580e-001
4.366055679339279e-003	5.069996e-001
4.375821304339279e-003	4.980790e-001
4.385586929339279e-003	4.869446e-001
4.395352554339278e-003	4.724462e-001
4.405118179339278e-003	4.522680e-001
4.414883804339278e-003	4.218968e-001
4.424649429339278e-003	3.742012e-001
4.434415054339278e-003	3.025527e-001
4.444180679339277e-003	2.060525e-001
4.453946304339277e-003	8.932877e-002
4.463711929339277e-003	-4.193111e-002
4.473477554339277e-003	-1.820340e-001
4.483243179339277e-003	-3.183187e-001
4.491171559378549e-003	-4.049059e-001
4.499317860751699e-003	-4.577278e-001
4.506246996103783e-003	-4.805656e-001
4.513840288515887e-003	-4.939211e-001
4.523605913515887e-003	-5.049173e-001
4.533371538515887e-003	-5.128700e-001
4.543137163515887e-003	-5.190383e-001
4.552902788515886e-003	-5.241215e-001
4.562668413515886e-003	-5.284437e-001
4.572434038515886e-003	-5.322266e-001
4.576524850177834e-003	-5.336603e-001
4.578584685456120e-003	-5.343379e-001
4.578596191238561e-003	-5.343418e-001
4.578757272192745e-003	-5.343934e-001
4.578941364711812e-003	-5.344519e-001
4.579309549749947e-003	-5.345680e-001
4.579947290850224e-003	-5.347677e-001
4.580346536438986e-003	-5.348920e-001
4.581734241099574e-003	-5.353174e-001
4.582977190704771e-003	-5.356691e-001
4.583819062369348e-003	-5.358542e-001
4.584674053635216e-003	-5.359926e-001
4.585972907307399e-003	-5.361727e-001
4.587272398197056e-003	-5.363354e-001
4.589871379976370e-003	-5.366392e-001
4.592344810958722e-003	-5.369324e-001
4.595629087237225e-003	-5.373797e-001
4.599478889444096e-003	-5.380199e-001
4.605821397910570e-003	-5.392143e-001
4.612458490860470e-003	-5.404836e-001
4.621910472479235e-003	-5.421517e-001
4.629354600293965e-003	-5.431758e-001
4.635283188694933e-003	-5.436484e-001
4.641855247365665e-003	-5.438817e-001
4.647127386787573e-003	-5.439708e-001
4.653005357431195e-003	-5.440250e-001
4.662770982431195e-003	-5.440766e-001
4.672536607431195e-003	-5.441027e-001
4.682302232431194e-003	-5.441108e-001
4.692067857431194e-003	-5.441063e-001
4.701833482431194e-003	-5.440898e-001
4.711599107431194e-003	-5.440576e-001
4.721364732431193e-003	-5.439991e-001
