time	V(p001)
2.708589988719644e-003	-4.218130e+000
2.718355613719644e-003	-4.214572e+000
2.728121238719644e-003	-4.208046e+000
2.737886863719644e-003	-4.194697e+000
2.747652488719644e-003	-4.164788e+000
2.756362935121973e-003	-4.109055e+000
2.765474025551057e-003	-4.012782e+000
2.775239650551056e-003	-3.878020e+000
2.784347832710822e-003	-3.744156e+000
2.787893383412640e-003	-3.703715e+000
2.792348456796751e-003	-3.670219e+000
2.792367596692100e-003	-3.670118e+000
2.792433219190441e-003	-3.669738e+000
2.792520715854896e-003	-3.669249e+000
2.792695709183805e-003	-3.668308e+000
2.793045695841623e-003	-3.666482e+000
2.793745669157259e-003	-3.662485e+000
2.794482110666527e-003	-3.656912e+000
2.795356163175541e-003	-3.648404e+000
2.796181344734281e-003	-3.639179e+000
2.797223945427269e-003	-3.626177e+000
2.799309146813245e-003	-3.597657e+000
2.800347173764567e-003	-3.582211e+000
2.801740725231432e-003	-3.559914e+000
2.803089201011307e-003	-3.537271e+000
2.804337227970730e-003	-3.515369e+000
2.805709172314732e-003	-3.490328e+000
2.807308640203517e-003	-3.460135e+000
2.808820238913039e-003	-3.430692e+000
2.813514202205093e-003	-3.334372e+000
2.818843916411388e-003	-3.217915e+000
2.828609541411388e-003	-2.993507e+000
2.838375166411388e-003	-2.757751e+000
2.848140791411388e-003	-2.511090e+000
2.857906416411388e-003	-2.254943e+000
2.867672041411387e-003	-1.990425e+000
2.877437666411387e-003	-1.718604e+000
2.887203291411387e-003	-1.440511e+000
2.896968916411387e-003	-1.157169e+000
2.906734541411386e-003	-8.695962e-001
2.916500166411386e-003	-5.788125e-001
2.926265791411386e-003	-2.858941e-001
2.936031416411386e-003	7.972986e-003
2.945797041411386e-003	3.015699e-001
2.955562666411385e-003	5.937485e-001
2.965328291411385e-003	8.834120e-001
2.975093916411385e-003	1.169569e+000
2.983316375476608e-003	1.406588e+000
2.991918456533591e-003	1.650068e+000
2.998816160247738e-003	1.841759e+000
3.006445299144837e-003	2.049350e+000
3.016210924144836e-003	2.308388e+000
3.025976549144836e-003	2.559215e+000
3.035742174144836e-003	2.800425e+000
3.045507799144836e-003	3.031080e+000
3.055273424144835e-003	3.250226e+000
3.065039049144835e-003	3.456963e+000
3.074804674144835e-003	3.643578e+000
3.078148416593058e-003	3.688397e+000
3.080861775432678e-003	3.708376e+000
3.082486402284554e-003	3.716309e+000
