Freq.	V(vin)/I(V3)
2.34422881531991e+003	(7.75541625555410e+001dB,-8.74930461591816e+001°)
2.39883291901947e+003	(7.73542856200155e+001dB,-8.74346494640269e+001°)
2.45470891568501e+003	(7.71544144895177e+001dB,-8.73748923761542e+001°)
2.51188643150956e+003	(7.69545494381289e+001dB,-8.73137431967202e+001°)
2.57039578276885e+003	(7.67546907528955e+001dB,-8.72511694877347e+001°)
2.63026799189536e+003	(7.65548387344450e+001dB,-8.71871380547904e+001°)
2.69153480392690e+003	(7.63549936976304e+001dB,-8.71216149293856e+001°)
2.75422870333815e+003	(7.61551559722067e+001dB,-8.70545653508311e+001°)
2.81838293126443e+003	(7.59553259035391e+001dB,-8.69859537477327e+001°)
2.88403150312659e+003	(7.57555038533453e+001dB,-8.69157437190380e+001°)
2.95120922666636e+003	(7.55556902004737e+001dB,-8.68438980146359e+001°)
3.01995172040199e+003	(7.53558853417186e+001dB,-8.67703785155002e+001°)
3.09029543251357e+003	(7.51560896926747e+001dB,-8.66951462133655e+001°)
3.16227766016836e+003	(7.49563036886329e+001dB,-8.66181611899239e+001°)
3.23593656929626e+003	(7.47565277855190e+001dB,-8.65393825955323e+001°)
3.31131121482589e+003	(7.45567624608775e+001dB,-8.64587686274157e+001°)
3.38844156139200e+003	(7.43570082149038e+001dB,-8.63762765073578e+001°)
3.46736850452529e+003	(7.41572655715248e+001dB,-8.62918624588656e+001°)
3.54813389233573e+003	(7.39575350795330e+001dB,-8.62054816837926e+001°)
3.63078054770099e+003	(7.37578173137748e+001dB,-8.61170883384124e+001°)
3.71535229097170e+003	(7.35581128763967e+001dB,-8.60266355089246e+001°)
3.80189396320558e+003	(7.33584223981522e+001dB,-8.59340751863844e+001°)
3.89045144994278e+003	(7.31587465397712e+001dB,-8.58393582410366e+001°)
3.98107170553494e+003	(7.29590859933975e+001dB,-8.57424343960441e+001°)
4.07380277804110e+003	(7.27594414840948e+001dB,-8.56432522005943e+001°)
4.16869383470332e+003	(7.25598137714278e+001dB,-8.55417590023694e+001°)
