time	V(vo_op)
4.579309549749947e-003	9.050778e-001
4.579947290850224e-003	8.931391e-001
4.580346536438986e-003	8.856843e-001
4.581734241099574e-003	8.599654e-001
4.582977190704771e-003	8.387797e-001
4.583819062369348e-003	8.279342e-001
4.584674053635216e-003	8.201030e-001
4.585972907307399e-003	8.099988e-001
4.587272398197056e-003	8.008183e-001
4.589871379976370e-003	7.833399e-001
4.592344810958722e-003	7.658574e-001
4.595629087237225e-003	7.378935e-001
4.599478889444096e-003	6.963018e-001
4.605821397910570e-003	6.167021e-001
4.612458490860470e-003	5.301898e-001
4.621910472479235e-003	4.141434e-001
4.629354600293965e-003	3.422858e-001
4.635283188694933e-003	3.096028e-001
4.641855247365665e-003	2.942484e-001
4.647127386787573e-003	2.885506e-001
4.653005357431195e-003	2.849415e-001
4.662770982431195e-003	2.812310e-001
4.672536607431195e-003	2.791136e-001
4.682302232431194e-003	2.781862e-001
4.692067857431194e-003	2.781349e-001
4.701833482431194e-003	2.789620e-001
4.711599107431194e-003	2.809604e-001
4.721364732431193e-003	2.849373e-001
4.731130357431193e-003	2.928712e-001
4.740895982431193e-003	3.105991e-001
4.750661607431193e-003	3.520507e-001
4.760427232431193e-003	4.317545e-001
4.769609583817451e-003	5.429077e-001
4.778211818809186e-003	6.685238e-001
4.783971106051969e-003	7.536638e-001
4.786802133976617e-003	7.860948e-001
4.790712688458316e-003	8.159263e-001
4.792752048461644e-003	8.285486e-001
4.794069249508443e-003	8.377675e-001
4.795336019591832e-003	8.498573e-001
4.796627880277898e-003	8.649164e-001
4.797867884404521e-003	8.811191e-001
4.799518201935350e-003	9.046271e-001
4.800491771036477e-003	9.194684e-001
4.801481821485563e-003	9.354506e-001
4.802968884046751e-003	9.606207e-001
4.804747661771826e-003	9.921648e-001
4.806536887453347e-003	1.025340e+000
