Freq.	V(outint)/V(Vin)
9.54992586021428e+003	(-2.56484214547557e+001dB,9.00740457744895e+001°)
9.77237220955802e+003	(-2.58484094408828e+001dB,9.00326952672759e+001°)
9.99999999999991e+003	(-2.60484016592122e+001dB,8.99913620190122e+001°)
1.02329299228075e+004	(-2.62483980939815e+001dB,8.99500241543177e+001°)
1.04712854805089e+004	(-2.64483987374020e+001dB,8.99086597951484e+001°)
1.07151930523760e+004	(-2.66484035909776e+001dB,8.98672470494282e+001°)
1.09647819614318e+004	(-2.68484126647227e+001dB,8.98257639996471e+001°)
1.12201845430195e+004	(-2.70484259779815e+001dB,8.97841886913776e+001°)
1.14815362149687e+004	(-2.72484435590147e+001dB,8.97424991219361e+001°)
1.17489755493952e+004	(-2.74484654451631e+001dB,8.97006732287359e+001°)
1.20226443461740e+004	(-2.76484916819581e+001dB,8.96586888780699e+001°)
1.23026877081237e+004	(-2.78485223260387e+001dB,8.96165238531568e+001°)
1.25892541179416e+004	(-2.80485574415400e+001dB,8.95741558430840e+001°)
1.28824955169312e+004	(-2.82485971032909e+001dB,8.95315624306916e+001°)
1.31825673855640e+004	(-2.84486413948232e+001dB,8.94887210813547e+001°)
1.34896288259164e+004	(-2.86486904105210e+001dB,8.94456091308681e+001°)
1.38038426460287e+004	(-2.88487442542945e+001dB,8.94022037740351e+001°)
1.41253754462274e+004	(-2.90488030384055e+001dB,8.93584820525508e+001°)
1.44543977074591e+004	(-2.92488668895457e+001dB,8.93144208432515e+001°)
1.47910838816819e+004	(-2.94489359420609e+001dB,8.92699968459935e+001°)
1.51356124843619e+004	(-2.96490103417349e+001dB,8.92251865720213e+001°)
1.54881661891247e+004	(-2.98490902469710e+001dB,8.91799663309388e+001°)
1.58489319246110e+004	(-3.00491758261323e+001dB,8.91343122194046e+001°)
1.62181009735891e+004	(-3.02492672611385e+001dB,8.90882001084737e+001°)
1.65958690743755e+004	(-3.04493647439198e+001dB,8.90416056309662e+001°)
1.69824365246173e+004	(-3.06494684830210e+001dB,8.89945041689362e+001°)
1.73780082874936e+004	(-3.08495786963407e+001dB,8.89468708416149e+001°)
1.77827941003891e+004	(-3.10496956175808e+001dB,8.88986804918891e+001°)
1.81970085860997e+004	(-3.12498194943981e+001dB,8.88499076741494e+001°)
1.86208713666285e+004	(-3.14499505890140e+001dB,8.88005266404059e+001°)
1.90546071796323e+004	(-3.16500891779258e+001dB,8.87505113283768e+001°)
1.94984459975803e+004	(-3.18502355551496e+001dB,8.86998353466078e+001°)
1.99526231496886e+004	(-3.20503900302631e+001dB,8.86484719629984e+001°)
2.04173794466951e+004	(-3.22505529293550e+001dB,8.85963940900483e+001°)
2.08929613085402e+004	(-3.24507245973863e+001dB,8.85435742711264e+001°)
2.13796208950221e+004	(-3.26509053972538e+001dB,8.84899846675116e+001°)
2.18776162394953e+004	(-3.28510957115275e+001dB,8.84355970430095e+001°)
2.23872113856832e+004	(-3.30512959418215e+001dB,8.83803827521167e+001°)
